序号,代码,名称,现价 ,涨跌幅(%) ,涨跌 ,涨速(%) ,换手(%) ,量比 ,振幅(%) ,成交额 ,流通股 ,流通市值 ,市盈率 
294,300766,每日互动,44.25,-0.27,-0.12,0.00,17.12,1.12,5.52,27.32亿,3.58亿,158.53亿,--
295,603206,嘉环科技,17.95,-0.28,-0.05,0.00,1.10,0.78,1.22,0.60亿,3.05亿,54.78亿,74.24
296,000702,正虹科技,6.95,-0.29,-0.02,-0.14,1.72,0.78,1.29,0.32亿,2.67亿,18.53亿,--
297,002468,申通快递,13.68,-0.29,-0.04,0.00,1.27,0.93,1.97,2.56亿,14.67亿,200.71亿,20.79
298,301165,锐捷网络,76.49,-0.39,-0.30,0.00,0.85,0.64,2.19,5.16亿,7.95亿,608.44亿,67.06
299,920493,并行科技,154.24,-0.39,-0.61,0.00,6.27,1.09,4.17,4.26亿,0.44亿,67.55亿,821.50
300,688225,亚信安全,22.23,-0.45,-0.10,0.27,2.02,1.15,3.18,1.78亿,4.00亿,88.92亿,--
301,603579,荣泰健康,26.84,-0.48,-0.13,0.11,3.86,0.92,1.52,2.11亿,2.03亿,54.58亿,36.94
302,603296,华勤技术,89.46,-0.49,-0.44,0.00,1.91,0.79,1.47,9.74亿,5.71亿,510.98亿,21.99
303,002153,石基信息,13.59,-0.51,-0.07,0.07,6.45,0.83,7.39,14.25亿,16.00亿,217.41亿,1314.64
304,000034,神州数码,40.38,-0.59,-0.24,0.00,2.97,0.85,1.62,7.24亿,6.05亿,244.21亿,32.70
305,002024,ST易购,1.63,-0.61,-0.01,0.62,0.29,0.95,1.83,0.43亿,92.54亿,150.85亿,154.46
306,688525,佰维存储,186.46,-0.71,-1.34,-0.08,7.19,0.77,7.24,62.43亿,4.67亿,871.01亿,2147.90
307,605398,新炬网络,31.69,-0.72,-0.23,0.03,3.58,0.98,3.38,1.86亿,1.63亿,51.56亿,380.57
308,600690,海尔智家,25.68,-0.81,-0.21,0.00,0.71,0.94,1.27,11.39亿,62.53亿,1605.78亿,10.40
309,688435,英方软件,46.98,-0.82,-0.39,0.09,3.92,0.73,2.39,1.03亿,0.56亿,26.33亿,--
310,002416,爱施德,13.75,-0.94,-0.13,0.07,2.68,0.86,1.73,4.53亿,12.24亿,168.29亿,37.91
311,600398,海澜之家,6.27,-0.95,-0.06,0.16,0.76,1.19,2.21,2.30亿,48.03亿,301.13亿,12.13
312,600415,小商品城,17.08,-0.99,-0.17,0.06,1.60,0.87,1.62,14.97亿,54.84亿,936.59亿,20.32
313,300815,玉禾田,25.76,-1.00,-0.26,-0.12,3.57,0.96,2.69,3.60亿,3.90亿,100.56亿,17.86
314,688500,慧辰股份,64.56,-1.01,-0.66,0.00,4.48,0.93,5.20,2.13亿,0.73亿,47.33亿,--
315,688220,翱捷科技,93.65,-1.01,-0.96,-0.01,2.36,0.97,6.01,8.10亿,3.69亿,345.70亿,--
316,300895,铜牛信息,52.92,-1.03,-0.55,0.06,3.33,0.67,2.79,2.44亿,1.38亿,73.12亿,--
317,688215,瑞晟智能,75.21,-1.07,-0.81,-0.23,3.02,1.31,8.04,1.42亿,0.62亿,46.95亿,397.25
318,688232,新点软件,31.23,-1.08,-0.34,0.03,2.35,1.12,5.16,2.37亿,3.22亿,100.56亿,--
319,301486,致尚科技,162.20,-1.10,-1.80,0.07,7.51,0.78,5.11,8.79亿,0.72亿,117.52亿,95.91
320,002364,中恒电气,30.29,-1.18,-0.36,0.10,4.54,0.69,2.12,7.70亿,5.58亿,169.05亿,176.41
321,600233,圆通速递,17.54,-1.18,-0.21,-0.06,0.56,1.05,2.14,3.39亿,34.23亿,600.32亿,15.65
322,300499,高澜股份,29.88,-1.26,-0.38,0.07,7.38,0.64,2.08,5.99亿,2.71亿,81.10亿,199.81
323,688256,寒武纪,1334.99,-1.33,-18.01,0.34,1.52,0.87,2.44,84.81亿,4.18亿,5584.93亿,263.12
324,002281,光迅科技,71.25,-1.38,-1.00,0.04,3.38,0.62,1.92,18.75亿,7.79亿,555.38亿,59.96
325,002963,豪尔赛,16.25,-1.40,-0.23,-0.06,3.79,0.85,2.00,0.76亿,1.23亿,19.99亿,--
326,600536,中国软件,49.91,-1.56,-0.79,0.00,3.71,1.08,1.54,15.57亿,8.44亿,421.07亿,--
327,002279,久其软件,10.29,-1.81,-0.19,0.20,32.04,2.51,8.59,26.33亿,7.90亿,81.26亿,--
328,301316,慧博云通,49.26,-1.87,-0.94,0.02,3.07,1.02,4.06,6.10亿,4.00亿,197.04亿,201.46
329,600258,首旅酒店,17.50,-1.91,-0.34,0.00,1.44,0.79,3.31,2.84亿,11.17亿,195.41亿,19.42
330,603189,网达软件,21.28,-2.07,-0.45,0.05,2.94,0.81,3.08,1.71亿,2.70亿,57.36亿,717.15
331,002837,英维克,97.35,-2.16,-2.15,0.07,3.54,0.69,2.96,29.40亿,8.50亿,827.66亿,178.67
332,300153,科泰电源,36.31,-2.21,-0.82,0.19,12.54,1.31,5.28,14.58亿,3.18亿,115.59亿,228.28
333,300475,香农芯创,157.87,-2.43,-3.93,0.00,8.34,0.89,3.78,58.07亿,4.45亿,703.12亿,153.18
334,300020,ST银江,4.38,-2.67,-0.12,0.00,6.21,1.51,7.33,2.14亿,7.67亿,33.58亿,--
335,000988,华工科技,78.23,-2.81,-2.26,0.00,4.51,0.93,2.82,35.60亿,10.05亿,786.20亿,44.65
336,300870,欧陆通,218.00,-3.45,-7.80,0.02,4.23,0.95,3.51,10.18亿,1.10亿,239.49亿,81.03
337,300917,特发服务,39.84,-3.65,-1.51,0.08,5.97,1.14,1.72,4.02亿,1.69亿,67.33亿,55.56
338,688041,海光信息,276.00,-4.33,-12.50,0.15,1.77,0.93,5.11,113.83亿,23.24亿,6415.17亿,245.30
339,301248,杰创智能,48.26,-4.44,-2.24,0.04,10.48,0.95,6.83,5.68亿,1.12亿,54.21亿,244.31
340,688787,海天瑞声,151.66,-7.68,-12.61,0.09,13.68,1.91,5.78,12.59亿,0.60亿,91.49亿,1641.66
